Y,Base,Altura,Diametro_Externo,Inertia,DistanceC,Thickness,Sigma,Safety Factor,M/EI,Angle,Deflection,Total mass,Mass Per Section
0.278299383,0.06,0.032,,6.139733333333333e-08,0.016,0.002,8176452.711952745,1.8345363849621799,0.17034276483234884,0.05972566347054337,0.009753593019263701,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.316430888,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,16362269.554805275,0.9167432396684112,0.5454089851601759,0.08052292891522356,0.012824053485809193,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.352611491,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,14477438.913316581,1.0360948569572452,0.4825812971105527,0.09798301124120551,0.016369137916271786,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.386618126,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,12813649.819409547,1.1706266529368288,0.4271216606469849,0.11250798165542139,0.0201951557830144,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.418241133,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,11360048.95571608,1.3204168448985771,0.37866829852386935,0.1244826119103198,0.024131670290832723,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.447285544,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,10104028.660882536,1.48455635899689,0.33680095536275123,0.1342647972830682,0.02803131224595384,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.47357229,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,9031852.528266331,1.660788852902059,0.30106175094221105,0.14217873106040138,0.031768728435940925,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.496939306,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,8129271.394079775,1.845183814495836,0.27097571313599245,0.14851062488486153,0.03523897858379549,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.517242526,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,7382110.8059830405,2.031939155917685,0.24607036019943465,0.15350664554346988,0.03835565777972657,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.534356774,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,6776813.241991205,2.2134297440949706,0.22589377473304018,0.15737264762590727,0.04104897229961297,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.548176535,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,6300921.558966708,2.380604148079548,0.2100307186322236,0.16027522196006283,0.043263937561322977,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.558616604,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,5943493.995367462,2.5237680077899385,0.19811646651224873,0.1623435715404869,0.0449588156499121,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.565612617,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,5695444.806454146,2.6336836734861904,0.18984816021513817,0.16367175173737808,0.04610386535279957,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.56912144,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,5549808.140507223,2.7027961364136597,0.1849936046835741,0.1643208615523447,0.04668043817119425,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.59247362,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,5501925.118954145,2.726318456847943,0.18339750396513818,0.16860359307648934,0.050617699625363194,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.637174633,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,4283564.237397927,3.5017567541164802,0.1427854745799309,0.174986248431898,0.05843976219133869,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.681139667,0.048,0.02,,1.6981333333333334e-08,0.01,0.002,3241091.5526853018,4.628070437434029,0.10803638508951004,0.1797360717755954,0.06634186469797917,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.723887032,0.04,0.01,,2.6853333333333336e-09,0.005,0.002,7507694.718843098,1.997950178015687,0.5005129812562065,0.20113168287259264,0.07493971415879816,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.764948378,0.04,0.01,,2.6853333333333336e-09,0.005,0.002,5300764.4258937435,2.8297805363178163,0.35338429505958285,0.21564211768300026,0.08379426976515256,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.8038738292,0.04,0.01,,2.6853333333333336e-09,0.005,0.002,3585479.7560824226,4.183540563729006,0.23903198373882817,0.2249465455012652,0.09255041554467061,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.8402369096,0.04,0.01,,2.6853333333333336e-09,0.005,0.002,2305523.8313058587,6.506113619959389,0.15370158875372392,0.2305356087307246,0.1009334004200089,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.8736392178,0.04,0.01,,2.6853333333333336e-09,0.005,0.002,1394788.6368545182,10.75431761032088,0.09298590912363455,0.23364155272552942,0.10873756757247358,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.9037147913,0.04,0.01,,2.6853333333333336e-09,0.005,0.002,782609.6404543198,19.166643527790196,0.05217397603028798,0.23521071497641557,0.11581166471873432,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.9301341156,0.04,0.01,,2.6853333333333336e-09,0.005,0.002,398940.62226911617,37.59958039540367,0.026596041484607744,0.2359133644214937,0.12204433640008985,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.9526077352,0.04,0.01,,2.6853333333333336e-09,0.005,0.002,179025.88411742798,83.78676677927248,0.011935058941161866,0.23618158839604095,0.12735219157422623,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.9708894244,0.04,0.01,,2.6853333333333336e-09,0.005,0.002,67150.93203202581,223.37739099207377,0.004476728802135054,0.23626343056063426,0.13167148618106153,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
0.9847788852,0.04,0.01,,2.6853333333333336e-09,0.005,0.002,19134.62701713009,783.9191214216715,0.0012756418011420057,0.23628114853742607,0.13495330393145108,0.10528000000000003,"[{""SectionType"": ""retangular"", ""Length"": 0.3, ""Mass"": 0.021120000000000007}, {""SectionType"": ""retangular"", ""Length"": 0.39999999999999997, ""Mass"": 0.02048}, {""SectionType"": ""retangular"", ""Length"": 0.30000000000000004, ""Mass"": 0.011040000000000001}]"
